,,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,Machine,Input 1,Input 1 Material,Input 2,Input 2 Material,Input 3,Input 3 Material,Input 4,Input 4 Material,Output,Byproduct 1,Byproduct 1 Material,Byproduct 2,Byproduct 2 Material
Alternate,Screw-Cast,Constructor,12.5,Iron Ingot,,,,,,,50,,,,
Alternate,Screw-Steel,Constructor,5,Steel Beam,,,,,,,260,,,,
Alternate,Wire-Iron,Constructor,12.5,Iron Ingot,,,,,,,22.5,,,,
Alternate,Wire-Caterium,Constructor,15,Caterium Ingot,,,,,,,120,,,,
Alternate,Concrete-Rubber,Assembler,50,Limestone,10,Rubber,,,,,45,,,,
Alternate,Computer-Crystal,Assembler,7.5,Circuit Board,2.813,Crystal Oscillator,,,,,2.813,,,,
Alternate,Modular Frame-Bolted,Assembler,7.5,Reinforced Iron Plate,140,Screw,,,,,5,,,,
Alternate,Modular Frame-Steeled,Assembler,2,Reinforced Iron Plate,10,Steel Pipe,,,,,3,,,,
Alternate,Encased Industrial Beam-Pipe,Assembler,28,Steel Pipe,20,Concrete,,,,,4,,,,
Alternate,Heavy Modular Frame-Encased,Manufacturer,7.5,Modular Frame,9.375,Encased Industrial Beam,33.75,Steel Pipe,20.625,Concrete,2.813,,,,
Alternate,Cooper Ingot-Alloy,Foundry,50,Copper Ore,25,Iron Ore,,,,,100,,,,
Alternate,Iron Ingot-Alloy,Foundry,20,Iron Ore,20,Copper Ore,,,,,50,,,,
Alternate,Reinforced Iron Plate-Bolted,Assembler,90,Iron Plate,250,Screw,,,,,15,,,,
Alternate,Reinforced Iron Plate-Adhered,Assembler,11.25,Iron Plate,3.75,Rubber,,,,,3.75,,,,
Alternate,Reinforced Iron Plate-Stitched,Assembler,18.75,Iron Plate,37.5,Wire,,,,,5.625,,,,
Alternate,Copper Ingot-Pure,Refinery,15,Copper Ore,10,Water,,,,,37.5,,,,
Alternate,Iron Ingot-Pure,Refinery,35,Iron Ore,20,Water,,,,,65,,,,
Alternate,Wire-Fused,Assembler,12,Copper Ingot,3,Caterium Ingot,,,,,90,,,,
Alternate,Black Powder-Fine,Assembler,7.5,Sulfer,1,Compacted Coal,,,,,15,,,,
Alternate,Quickwire-Fused,Assembler,7.5,Caterium Ingot,37.5,Copper Ingot,,,,,90,,,,
Alternate,Concrete-Wet,Refinery,120,Limestone,100,Water,,,,,80,,,,
Alternate,Concrete-Fine,Assembler,7.5,Silica,30,Limestone,,,,,25,,,,
Alternate,Silica-Cheap,Assembler,11.25,Raw Quartz,18.75,Limestone,,,,,26.25,,,,
Alternate,Nobelisk-Seismic,Manufacturer,12,Black Powder,12,Steel Pipe,1.5,Crystal Oscillator,,,6,,,,
Alternate,Rotor-Copper,Assembler,22.5,Copper Sheet,195,Screw,,,,,11.25,,,,
Alternate,Rotor-Steel,Assembler,10,Steel Pipe,30,Wire,,,,,5,,,,
Alternate,Iron Rod-Steel,Constructor,12,Steel Ingot,,,,,,,48,,,,
Alternate,Steel Ingot-Coke,Foundry,75,Iron Ore,75,Petroleum Coke,,,,,100,,,,
Alternate,Steel Ingot-Compacted,Foundry,22.5,Iron Ore,11.25,Compacted Coal,,,,,37.5,,,,
Alternate,Steel Ingot-Solid,Foundry,40,Iron Ingot,40,Coal,,,,,60,,,,
Alternate,Copper Sheet-Steamed,Refinery,22.5,Copper Ingot,22.5,Water,,,,,22.5,,,,
Alternate,Quartz Crystal-Pure,Refinery,67.5,Raw Quartz,37.5,Water,,,,,52.5,,,,
Alternate,Automated Wiring-Speed,Manufacturer,3.75,Stator,75,Wire,1.875,High Speed Connector,,,7.5,,,,
Alternate,Stator-Quickwire,Assembler,16,Steel Pipe,60,Quickwire,,,,,8,,,,
Alternate,Motor-Rigour,Manufacturer,3.75,Rotor,3.75,Stator,1.25,Crystal Oscillator,,,7.5,,,,
Alternate,Motor-Electric,Assembler,3.75,Electromagnetic Control Rod,7.5,Rotor,,,,,7.5,,,,
Alternate,Heavy Modular Frame-Flexible,Manufacturer,18.75,Modular Frame,11.25,Encased Industrial Beam,75,Rubber,390,Screw,3.75,,,,
Alternate,Computer-Caterium,Manufacturer,26.25,Circuit Board,105,Quickwire,45,Rubber,,,3.75,,,,
Alternate,Cable-Coated,Refinery,37.5,Wire,15,Heavy Oil Residue,,,,,67.5,,,,
Alternate,Cable-Insulated,Assembler,45,Wire,30,Rubber,,,,,100,,,,
Alternate,Cable-Quickwire,Assembler,7.5,Quickwire,5,Rubber,,,,,27.5,,,,
Alternate,Circuit Board-Electrode,Assembler,30,Rubber,45,Petroleum Coke,,,,,5,,,,
Alternate,Circuit Board-Silicone,Assembler,27.5,Copper Sheet,27.5,Silica,,,,,12.5,,,,
Alternate,Circuit Board-Caterium,Assembler,12.5,Plastic,37.5,Quickwire,,,,,8.75,,,,
Alternate,Plastic-Recycled,Refinery,30,Rubber,30,Fuel,,,,,12,,,,
Alternate,Rubber-Recycled,Refinery,30,Plastic,30,Fuel,,,,,60,,,,
Alternate,Fuel-Diluted,Blender,50,Heavy Oil Residue,100,Water,,,,,100,,,,
Alternate,Polymer Resin-,Refinery,60,Crude Oil,,,,,,,130,20,Heavy Oil Residue,,
Alternate,Heavy Oil Residue-,Refinery,30,Crude Oil,,,,,,,40,20,Polymer Resin,,
Alternate,Smart Plating-Plastic,Manufacturer,2.5,Reinforced Iron Plate,2.5,Rotor,7.5,Plastic,,,5,,,,
Alternate,Caterium Ingot-Pure,Refinery,24,Caterium Ore,24,Water,,,,,12,,,,
Alternate,High Speed Connector-Silicone,Manufacturer,90,Quickwire,37.5,Silica,3,Circuit Board,,,3,,,,
Alternate,Crystal Oscillator-Insulated,Manufacturer,18.75,Quartz Crystal,13.125,Rubber,1.875,AI Limiter,,,1.875,,,,
Alternate,Turbofuel-,Refinery,22.5,Fuel,15,Compacted Coal,,,,,18.75,,,,
Alternate,Turbofuel-Heavy,Refinery,37.5,Heavy Oil Residue,30,Compacted Coal,,,,,30,,,,
Alternate,Turbofuel-Blend,Blender,15,Fuel,30,Heavy Oil Residue,22.5,Sulfer,22.5,Petroleum Coke,45,,,,
Alternate,Battery-Classic,Manufacturer,45,Sulfer,52.5,Aluminum Sheet,60,Plastic,90,Wire,30,,,,
Alternate,Supercomputer-OC,Assembler,9,Radio Control Unit,9,Cooling System,,,,,3,,,,
Alternate,Supercomputer-State,Manufacturer,3.6,Computer,2.4,Electromagnetic Control Rod,24,Battery,54,Wire,2.4,,,,
Alternate,Alumina Solution-Sloppy,Refinery,200,Bauxite,200,Water,,,,,240,,,,
Alternate,Aluminum Ingot-Pure,Smelter,60,Aluminum Scrap,,,,,,,3,,,,
Alternate,Aluminum Scrap-Electrode,Refinery,180,Alumina Solution,60,Petroleum Coke,,,,,300,105,Water,,
Alternate,Aluminum Scrap-Instant,Blender,150,Bauxite,100,Coal,50,Sulfiric Acid,60,Water,300,50,Water,,
Alternate,Radio Control Unit-System,Manufacturer,1.5,Crystal Oscillator,15,Circuit Board,90,Aluminum Casing,45,Rubber,4.5,,,,
Alternate,Radio Control Unit-Connection,Manufacturer,15,Heat Sink,7.5,High Speed Connector,45,Quartz Crystal,,,3.75,,,,
Alternate,Cooling System-Device,Blender,9.375,Heat Sink,1.875,Motor,45,Nitrogen,,,3.75,,,,
Alternate,Heat Sink-Exchanger,Assembler,30,Aluminum Casing,30,Rubber,,,,,10,,,,
Alternate,Fused Modular Frame-Heat,Blender,3,Heavy Modular Frame,150,Aluminum Ingot,24,Nitric Acid,30,Fuel,3,,,,
Alternate,Turbo Motor-Electric,Manufacturer,6.5625,Motor,8.4375,Radio Control Unit,4.6875,Electromagnetic Control Rod,6.5625,Rotor,2.8125,,,,
Alternate,Turbo Motor-Pressure,Manufacturer,7.5,Motor,1.875,Pressure Control Cube,45,Packaged Nitrogen,15,Stator,3.75,,,,
Alternate,Encased Uranium Cell-Infused,Manufacturer,25,Uranium,15,Silica,25,Sulfer,75,Quickwire,20,,,,
Alternate,Uranium Fuel Rod-Unit,Manufacturer,20,Encased Uranium Cell,2,Electromagnetic Control Rod,0.6,Crystal Oscillator,1.2,Beacon,0.6,,,,
Alternate,Encased Plutonium Cell-Instant,Particle Accelerator,75,Non-fissle Uranium,10,Aluminum Casing,,,,,10,,,,
Alternate,Non-fissle Uranium-Fertile,Blender,25,Uranium,25,Uranium Waste,15,Nitric Acid,25,Sulfiric Acid,100,40,Water,,
Alternate,Plutonium Fuel Rod-Unit,Assembler,20,Encased Plutonium Cell,0.5,Pressure Control Cube,,,,,0.5,,,,
